AGEB,LATITUD USAR,LONGITUD USAR,Año de apertura del negocio ,Edad del negocio,Trabajadores en el mes,Trabajadores con salario fijo,Salario para abandonar el negocio,Reja,Miscelanea o Tienda de Abarrotes,Fondita/Mini Resutaurante,Verdulería o Frutería,Tortillería,Otro negocio,Razon de las ventas: Violencia,Razon de las ventas: Conexiones,Razon de las ventas: Temporada,Razon de las ventas: Escuelas,Razon de las ventas: Otras,Credito Bancos,Credito Proovedores,Credito Familia,Credito Gobierno,Credito Ahorros populares (tandas),Crédito privado,Se recibio credito del banco?,Deseo de crecer el negocio,Sexo del dueño o dueña,Propiedad del local,Prediccion de los trabajadores,Nivel de clientes del ultimo mes,Prediccion de clientes,Ventas en el mes,Predicción de ventas,Cambio en el inventario,Prediccion del inventario ,Opinion sobre el inventario,Cambio en el precio,Prediccion del cambio de precio,Impacto Crimen,Impacto Credito,Impacto Incremento de precio,Impacto Competencia,Educación del dueño,Edad del dueño,Negocios,Ingresos,Gastos,Edad,Trabajadores,Trabajadores_Hombres,Trabajadores_Mujeres,Credito
0625,24.758764,-107.435418,2010.0,14.0,0.0,1.0,12000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,4.0,5.0,5.0,,,,,,,,
7181,24.83744025,-107.42304825,2011.25,12.75,2.75,1.75,37500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.75,0.0,1.0,0.25,0.0,0.25,0.75,1.0,0.25,1.0,2.0,2.25,2.5,1.75,2.5,2.75,2.25,2.25,2.0,2.75,4.25,3.5,4.5,4.25,4.75,4.5,,,,,,,,
0038,24.771664,-107.455722,2019.0,5.0,1.0,1.0,6000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,8.0,530.375,282.25,13.5,1.875,0.5,1.375,0.0
0038,24.771664,-107.455722,2019.0,5.0,1.0,1.0,6000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,13.0,371.0,220.4615385,12.23076900000001,1.769230769,0.615384615,1.153846154,0.0
5679,24.830927,-107.424381,2009.0,15.0,3.7142857142857144,2.142857142857143,32357.14285714286,1.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.5714285714285714,2.2857142857142856,1.5714285714285714,2.7142857142857144,1.8571428571428572,2.857142857142857,2.142857142857143,2.4285714285714284,2.142857142857143,2.5714285714285716,2.7142857142857144,5.0,2.5714285714285716,3.4285714285714284,3.5714285714285716,4.285714285714286,4.285714285714286,5.0,326.8,210.4,23.59999999999991,1.4,0.2,1.2,0.0
7393,24.8257395,-107.419455,2013.75,10.25,6.5,5.75,43000.0,0.25,0.25,0.5,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.5,0.75,1.0,0.25,0.0,0.0,0.0,0.75,1.0,0.25,0.5,2.5,2.25,2.5,2.5,3.0,2.5,3.0,1.75,2.5,2.75,2.75,2.0,2.75,3.25,5.0,3.25,,,,,,,,
7209,24.818977,-107.434479,2021.0,3.0,5.0,5.0,12000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,,,,,,,,
0381,24.82887,-107.3782181818182,2009.1818181818182,14.818181818181818,2.1818181818181817,1.0,36909.09090909091,0.5454545454545454,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.6363636363636364,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.8181818181818182,0.7272727272727273,0.8181818181818182,2.090909090909091,1.7272727272727273,2.8181818181818183,2.3636363636363638,2.8181818181818183,2.090909090909091,2.272727272727273,2.0,2.1818181818181817,2.4545454545454546,4.0,2.5454545454545454,3.727272727272727,3.8181818181818183,3.909090909090909,4.636363636363637,10.0,353.4,222.5,18.40000000000009,2.3,0.7,1.6,0.0
4308,24.769818333333333,-107.45635966666667,2012.3333333333333,11.666666666666666,2.6666666666666665,2.6666666666666665,13485.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,2.3333333333333335,1.0,3.0,2.0,3.0,1.6666666666666667,2.6666666666666665,2.0,1.6666666666666667,3.0,4.666666666666667,3.3333333333333335,2.3333333333333335,2.6666666666666665,4.333333333333333,4.666666666666667,8.0,777.375,517.25,8.5,2.125,0.75,1.375,0.125
4632,24.7687365,-107.459325,2012.75,11.25,2.0,2.0,20125.0,1.0,0.5,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.5,0.5,0.75,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,2.25,2.25,3.0,2.0,3.0,2.25,2.5,1.75,2.25,2.0,3.0,3.0,3.25,2.75,4.5,1.75,,,,,,,,
